datetime,requests,emissions
2022-01-22 13:00:00,4784,1692337.182916848
2022-01-22 14:00:00,4701,1956622.754375533
2022-01-22 15:00:00,4395,1815247.8323925354
2022-01-22 16:00:00,3957,1498772.530109431
2022-01-22 17:00:00,3370,1411395.5115390427
2022-01-22 18:00:00,2746,1110842.8225926636
2022-01-22 19:00:00,2329,941436.495439681
2022-01-22 20:00:00,2033,818082.2356816081
2022-01-22 21:00:00,1883,669077.3221454589
2022-01-22 22:00:00,1879,623659.1483730576
2022-01-22 23:00:00,2119,841210.7132329504
2022-01-23 00:00:00,2368,960699.4341973264
2022-01-23 01:00:00,2766,1122713.1681054684
2022-01-23 02:00:00,3061,1181745.3589691194
2022-01-23 03:00:00,3209,1297469.2061291102
2022-01-23 04:00:00,3312,1334914.7294363715
2022-01-23 05:00:00,3489,1034503.9267495824
2022-01-23 06:00:00,3565,1084643.7045982592
2022-01-23 07:00:00,3653,1211793.171030235
2022-01-23 08:00:00,3795,1345048.572990269
2022-01-23 09:00:00,3964,1392112.30137397
2022-01-23 10:00:00,4250,1508039.2157351887
2022-01-23 11:00:00,4489,1610141.5513323864
2022-01-23 12:00:00,4720,1654473.2542045466
2022-01-23 13:00:00,4784,1886336.0904334162
2022-01-23 14:00:00,4701,1869871.3722963773
2022-01-23 15:00:00,4395,1849280.3472898144
2022-01-23 16:00:00,3957,1647251.7001791662
2022-01-23 17:00:00,3370,1219848.979323439
2022-01-23 18:00:00,2746,1154553.1013560912
2022-01-23 19:00:00,2329,879161.4822927144
2022-01-23 20:00:00,2033,735515.6715336766
2022-01-23 21:00:00,1883,757977.0039960574
2022-01-23 22:00:00,1879,650607.8114000069
2022-01-23 23:00:00,2119,726847.5865004862
2022-01-24 00:00:00,2368,958513.0449648171
2022-01-24 01:00:00,2766,1075177.2252366568
2022-01-24 02:00:00,3061,1187397.839915666
2022-01-24 03:00:00,3209,1244018.6741316048
2022-01-24 04:00:00,3312,1277424.51094155
2022-01-24 05:00:00,3489,1355786.438016729
2022-01-24 06:00:00,3565,1391024.606752584
2022-01-24 07:00:00,3653,1448566.383284564
2022-01-24 08:00:00,3795,1508239.0772179973
2022-01-24 09:00:00,3964,1578820.3886881312
2022-01-24 10:00:00,4250,1701207.1968574019
2022-01-24 11:00:00,4489,1800854.0179123383
2022-01-24 12:00:00,4720,1892536.5715243078
2022-01-24 13:00:00,4784,1896996.0182599183
2022-01-24 14:00:00,4701,1871318.1932116402
2022-01-24 15:00:00,4395,1569337.2120298424
